"PRODUCT_NO","KPRM","CUST_LOC_NO","LTA","RI_TYPE","RI_NONRI","RI_TIME","MIN","SOH","MAX_QTY","TAR_SSL","SUP_SSL","QTY_PICK","QTY_SNR","UID_STATUS","ORDNO","ITMNO","REQ_DATE","PERID0","PERID1 ","PERID2 ","PERID3 ","PERID4 ","PERID5 ","PERID6 ","PERID7 ","PERID8 ","PERID9 ","PERID10 ","PERID11 ","PERID12 ","PERID13 ","PERID14 ","PERID15 ","PERID16 ","PERID17 ","PERID18 ","PERID19 ","PERID20 ","PERID21 ","PERID22 ","PERID23 ","PERID24 ","PERID25 ","PERID26 ","PERID27 ","PERID28 ","PERID29 ","PERID30 ","PERID31 ","PERID32 ","PERID33 ","PERID34 ","PERID35 "
"Product","Key Figure","Customer Loc.","","Replenishment Indicator","","","Minimum Safety Stock","","","","","Shippable Qty","Quantity","Medium Field Label","Order Document Number","Item Number","RequDlvryD","03/20/2016 - 12/13/2018","12/14/2018 - 12/16/2018","12/17/2018 - 12/23/2018","12/24/2018 - 12/30/2018","12/31/2018 - 01/06/2019","01/07/2019 - 01/13/2019","01/14/2019 - 01/20/2019","01/21/2019 - 01/27/2019","01/28/2019 - 02/03/2019","02/04/2019 - 02/10/2019","02/11/2019 - 02/17/2019","02/18/2019 - 02/24/2019","02/25/2019 - 03/03/2019","03/04/2019 - 03/10/2019","03/11/2019 - 03/17/2019","03/18/2019 - 03/24/2019","03/25/2019 - 03/31/2019","04/01/2019 - 04/07/2019","04/08/2019 - 04/14/2019","04/15/2019 - 04/21/2019","04/22/2019 - 04/28/2019","04/29/2019 - 05/05/2019","05/06/2019 - 05/12/2019","05/13/2019 - 05/19/2019","05/20/2019 - 05/26/2019","05/27/2019 - 05/31/2019","06/01/2019 - 06/30/2019","07/01/2019 - 07/31/2019","08/01/2019 - 08/31/2019","09/01/2019 - 09/30/2019","10/01/2019 - 10/31/2019","11/01/2019 - 11/30/2019","12/01/2019 - 12/31/2019","01/01/2020 - 12/31/2020","01/01/2021 - 12/31/2021","01/01/2022 - 12/31/2022"
"","","","","","","","0.000 ","0 ","0 ","0 ","0 ","0.000000 ","0.00000000000000 ","","H117214A","00030/381","20190403","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","",""
"","","","","","","","0.000 ","0 ","0 ","0 ","0 ","0.000000 ","0.00000000000000 ","","H117214A","00030/381","20190410","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","",""
"","","","","","","","0.000 ","0 ","0 ","0 ","0 ","0.000000 ","0.00000000000000 ","","H117214A","00030/381","20190417","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","",""
"","","","","","","","0.000 ","0 ","0 ","0 ","0 ","0.000000 ","0.00000000000000 ","","H117214A","00030/381","20190425","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","",""
"","","","","","","","0.000 ","0 ","0 ","0 ","0 ","0.000000 ","0.00000000000000 ","","H117214A","00030/381","20190502","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","",""
"","","","","","","","0.000 ","0 ","0 ","0 ","0 ","0.000000 ","0.00000000000000 ","","H117214A","00030/381","20190509","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","",""
"","","","","","","","0.000 ","0 ","0 ","0 ","0 ","0.000000 ","0.00000000000000 ","","H117214A","00030/381","20190515","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","",""
"","","","","","","","0.000 ","0 ","0 ","0 ","0 ","0.000000 ","0.00000000000000 ","","H117214A","00030/381","20190522","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","",""
"","","","","","","","0.000 ","0 ","0 ","0 ","0 ","0.000000 ","0.00000000000000 ","","H117214A","00030/381","20190530","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","",""
"","","","","","","","0.000 ","0 ","0 ","0 ","0 ","0.000000 ","0.00000000000000 ","","H117214A","00030/381","20190613","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","",""
"","","","","","","","0.000 ","0 ","0 ","0 ","0 ","0.000000 ","0.00000000000000 ","","H117214A","00030/381","20190619","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","",""
"","","","","","","","0.000 ","0 ","0 ","0 ","0 ","0.000000 ","0.00000000000000 ","","H117214A","00030/381","20190626","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","",""
"","","","","","","","0.000 ","0 ","0 ","0 ","0 ","0.000000 ","0.00000000000000 ","","H117214A","00030/381","20190703","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","",""
"","","","","","","","0.000 ","0 ","0 ","0 ","0 ","0.000000 ","0.00000000000000 ","","H117214A","00030/381","20190711","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","",""
"","","","","","","","0.000 ","0 ","0 ","0 ","0 ","0.000000 ","0.00000000000000 ","","H117214A","00030/381","20190718","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","",""
"","","","","","","","0.000 ","0 ","0 ","0 ","0 ","0.000000 ","0.00000000000000 ","","H117214A","00030/381","20190726","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","",""
"","","","","","","","0.000 ","0 ","0 ","0 ","0 ","0.000000 ","0.00000000000000 ","","H117214A","00030/381","20190801","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","",""
"","","","","","","","0.000 ","0 ","0 ","0 ","0 ","0.000000 ","0.00000000000000 ","","H117214A","00030/381","20190815","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","",""
"","","","","","","","0.000 ","0 ","0 ","0 ","0 ","0.000000 ","0.00000000000000 ","","H117214A","00030/381","20190821","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","",""
"","","","","","","","0.000 ","0 ","0 ","0 ","0 ","0.000000 ","0.00000000000000 ","","H117214A","00030/381","20190828","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","",""
"","","","","","","","0.000 ","0 ","0 ","0 ","0 ","0.000000 ","0.00000000000000 ","","H117214A","00030/381","20190905","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","",""
"","","","","","","","0.000 ","0 ","0 ","0 ","0 ","0.000000 ","0.00000000000000 ","","H117214A","00030/381","20190912","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","",""
"","","","","","","","0.000 ","0 ","0 ","0 ","0 ","0.000000 ","0.00000000000000 ","","H117214A","00030/381","20191003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","",""
"","","","","","","","0.000 ","0 ","0 ","0 ","0 ","0.000000 ","0.00000000000000 ","","H117214A","00030/381","20191010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","",""
"","","","","","","","0.000 ","0 ","0 ","0 ","0 ","0.000000 ","0.00000000000000 ","","H117214A","00030/381","20191017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","",""
"","","","","","","","0.000 ","0 ","0 ","0 ","0 ","0.000000 ","0.00000000000000 ","","H117214A","00030/381","20191024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","",""
"","","","","","","","0.000 ","0 ","0 ","0 ","0 ","0.000000 ","0.00000000000000 ","","H117214A","00030/381","20191031","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","",""
"","","","","","","","0.000 ","0 ","0 ","0 ","0 ","0.000000 ","0.00000000000000 ","","H117214A","00030/381","20191112","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","",""
"","","","","","","","0.000 ","0 ","0 ","0 ","0 ","0.000000 ","0.00000000000000 ","","H117214A","00030/381","20191119","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","",""
"","","","","","","","0.000 ","0 ","0 ","0 ","0 ","0.000000 ","0.00000000000000 ","","H117214A","00030/381","20191126","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","",""
"","","","","","","","0.000 ","0 ","0 ","0 ","0 ","0.000000 ","0.00000000000000 ","","H117214A","00030/381","20191216","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","",""
"","","","","","","","0.000 ","0 ","0 ","0 ","0 ","0.000000 ","0.00000000000000 ","","H117214A","00030/381","20191223","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","",""
"","","","","","","","0.000 ","0 ","0 ","0 ","0 ","0.000000 ","0.00000000000000 ","","H117214A","00030/381","20200102","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","",""
"","","","","","","","0.000 ","0 ","0 ","0 ","0 ","0.000000 ","0.00000000000000 ","","H117214A","00030/381","20200109","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","",""
"","","","","","","","0.000 ","0 ","0 ","0 ","0 ","0.000000 ","0.00000000000000 ","","H117214A","00030/381","20200116","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","",""
"","","","","","","","0.000 ","0 ","0 ","0 ","0 ","0.000000 ","0.00000000000000 ","","H117214A","00030/381","20200123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","",""
